Temp Sensor 1,Soil Moisture 1,Soil Moisture 2,Timestamp
25.7,61.8,66.8,1717357346827
25.6,61.7,66.8,1717357349827
25.6,61.7,66.8,1717357352827
25.6,61.8,66.7,1717357355826
25.6,61.8,66.7,1717357358828
25.6,61.7,66.7,1717357361828
25.6,61.8,66.7,1717357365186
25.6,61.8,66.7,1717357368082
25.6,61.7,66.8,1717357371187
25.6,61.7,66.8,1717357374186
25.6,61.8,66.5,1717357377188
25.6,61.8,66.5,1717357380187
25.6,61.7,66.7,1717357383187
25.6,61.7,66.7,1717357386187
25.7,61.9,66.6,1717357389187
25.7,61.9,66.6,1717357392188
25.6,61.9,66.7,1717357395194
25.6,61.9,66.7,1717357398083
25.6,61.7,66.6,1717357401187
25.6,61.7,66.6,1717357404189
25.6,61.8,66.8,1717357407188
25.6,61.8,66.8,1717357410548
25.6,61.8,66.8,1717357413548
25.6,61.8,66.6,1717357416548
25.6,61.8,66.6,1717357419548
25.6,61.8,66.7,1717357422547
25.6,61.8,66.7,1717357425548
25.6,61.9,66.8,1717357428443
25.6,61.9,66.8,1717357431547
25.6,61.8,66.7,1717357434548
25.6,61.8,66.7,1717357437549
25.6,61.9,66.7,1717357440548
25.6,61.9,66.7,1717357443548
25.6,61.8,66.7,1717357446547
25.6,61.8,66.7,1717357449549
25.6,61.9,66.8,1717357452550
25.6,61.8,66.8,1717357455909
25.6,61.8,66.8,1717357458804
25.6,61.8,66.7,1717357461908
25.6,61.8,66.7,1717357464907
25.6,61.7,66.8,1717357467908
25.6,61.7,66.8,1717357470908
25.6,61.7,66.8,1717357473909
25.6,61.7,66.8,1717357476909
25.6,61.8,66.7,1717357479909
25.6,61.8,66.7,1717357482908
25.6,61.8,66.7,1717357485909
25.6,61.8,66.7,1717357488909
25.6,61.9,66.7,1717357491910
25.6,61.9,66.7,1717357494909
25.6,61.7,66.8,1717357497910
25.6,61.7,66.7,1717357501269
25.6,61.7,66.7,1717357504269
25.6,61.8,66.8,1717357507269
25.6,61.8,66.8,1717357510269
25.6,61.9,66.5,1717357513269
25.6,61.9,66.5,1717357516268
25.6,61.7,66.7,1717357519268
25.6,61.7,66.7,1717357522270
25.6,61.7,66.8,1717357525269
25.6,61.7,66.8,1717357528268
25.6,61.7,66.8,1717357531268
25.6,61.7,66.8,1717357534271
25.6,61.8,66.6,1717357537269
25.6,61.8,66.6,1717357540271
25.6,61.7,66.8,1717357543268
25.6,61.7,66.7,1717357546629
25.6,61.7,66.7,1717357549628
25.6,61.7,66.6,1717357552629
25.6,61.7,66.6,1717357555629
25.6,61.7,66.8,1717357558630
25.6,61.7,66.8,1717357561629
25.6,61.8,66.8,1717357564630
25.6,61.8,66.8,1717357567628
25.6,61.7,66.7,1717357570631
25.6,61.7,66.7,1717357573630
25.6,61.7,66.6,1717357576631
25.6,61.7,66.6,1717357579630
25.6,61.8,66.8,1717357582525
25.6,61.8,66.8,1717357585630
25.6,61.9,66.8,1717357588630
